noun,verb,metric,mean
憎悪,Xに浸す,novelty,3.4000000000000000
音,Xがこぼれる,comprehensibility,3.1000000000000000
憎悪,Xが淀む,metaphoricity,2.6000000000000000
時間,Xですすぐ,metaphoricity,2.6000000000000000
安心,Xを撒き散らす,novelty,3.3000000000000000
理解,Xが滴る,novelty,3.7000000000000000
嫉妬,Xに浸る,comprehensibility,1.6000000000000000
喜び,Xを飲む,metaphoricity,2.6000000000000000
怒り,Xがしみる,novelty,3.4000000000000000
気持ち,Xを飲む,novelty,1.1000000000000000
希望,Xが滴る,comprehensibility,1.8000000000000000
羞恥心,Xが沸騰する,comprehensibility,1.4000000000000000
時間,Xに浮く,metaphoricity,2.7000000000000000
快楽,Xが沸騰する,comprehensibility,1.7000000000000000
空気,Xを汲み取る,comprehensibility,1.4000000000000000
気持ち,Xが流れる,metaphoricity,2.0000000000000000
岩,Xを飲む,comprehensibility,0.90000000000000000000
油,Xがほとばしる,comprehensibility,2.3000000000000000
声,Xが湧く,metaphoricity,2.3000000000000000
恐怖,Xに漬かる,novelty,2.8000000000000000
恐怖,Xが澄む,metaphoricity,1.7000000000000000
絶望,Xが滴る,metaphoricity,2.3000000000000000
泥,Xを浴びせる,novelty,1.5000000000000000
情熱,Xを注ぐ,comprehensibility,4.0000000000000000
喜び,Xが流れる,novelty,3.1000000000000000
言葉,Xが渦巻く,comprehensibility,2.4000000000000000
理解,Xが濁る,novelty,3.4000000000000000
水,Xが澄む,comprehensibility,3.5000000000000000
砂,Xに浸す,comprehensibility,1.9000000000000000
不安,Xを汲み取る,metaphoricity,1.4000000000000000
悲しみ,Xを注ぐ,metaphoricity,2.5000000000000000
アリ,Xが濁る,metaphoricity,2.3000000000000000
感情,Xが漏れる,metaphoricity,2.1000000000000000
音,Xを啜る,metaphoricity,2.4000000000000000
油,Xがしみる,metaphoricity,1.1000000000000000
ネコ,Xに溺れる,novelty,1.9000000000000000
感情,Xが沸騰する,novelty,2.5000000000000000
労働,Xが湧く,metaphoricity,2.2000000000000000
アリ,Xが溢れる,novelty,3.2000000000000000
声,Xに沈む,metaphoricity,3.1000000000000000
空気,Xが流れる,metaphoricity,0.40000000000000000000
恐怖,Xを撒き散らす,metaphoricity,2.3000000000000000
理解,Xが溢れる,metaphoricity,2.0000000000000000
労働,Xが淀む,metaphoricity,2.2000000000000000
言葉,Xが溜まる,comprehensibility,1.3000000000000000
憎悪,Xに溺れる,comprehensibility,2.5000000000000000
情熱,Xを垂らす,metaphoricity,2.6000000000000000
労働,Xに浸す,novelty,3.0000000000000000
岩,Xを汲み取る,novelty,3.7000000000000000
声,Xが淀む,metaphoricity,2.4000000000000000
安心,Xが漏れる,metaphoricity,2.3000000000000000
勇気,Xがほとばしる,novelty,1.6000000000000000
悲しみ,Xを垂らす,comprehensibility,0.90000000000000000000
声,Xに浸す,novelty,3.5000000000000000
労働,Xに沈む,metaphoricity,2.6000000000000000
時間,Xが満ちる,comprehensibility,2.7000000000000000
安心,Xが沸騰する,novelty,3.6000000000000000
ケーキ,Xに漬かる,comprehensibility,1.1000000000000000
油,Xを撒く,metaphoricity,1.3000000000000000
水,Xを撒き散らす,comprehensibility,3.5000000000000000
光,Xに漬かる,comprehensibility,1.4000000000000000
労働,Xをかける,metaphoricity,1.6000000000000000
悲しみ,Xが流れ出る,novelty,2.7000000000000000
愛,Xが満ちる,novelty,1.6000000000000000
不満,Xに浸す,comprehensibility,1.2000000000000000
不安,Xが流れる,comprehensibility,1.9000000000000000
怒り,Xを撒く,novelty,2.8000000000000000
空気,Xを飲む,novelty,2.8000000000000000
楽しさ,Xに浸る,comprehensibility,3.4000000000000000
気持ち,Xを汲み取る,comprehensibility,3.7000000000000000
希望,Xが滲む,novelty,2.4000000000000000
声,Xをかける,metaphoricity,0.00000000000000000000
気持ち,Xが流れ出る,metaphoricity,1.7000000000000000
情熱,Xを汲み取る,novelty,2.0000000000000000
感情,Xに浸る,comprehensibility,3.4000000000000000
時間,Xがほとばしる,metaphoricity,2.4000000000000000
希望,Xに溺れる,comprehensibility,1.1000000000000000
金銭,Xですすぐ,comprehensibility,0.50000000000000000000
音,Xを撒き散らす,metaphoricity,2.4000000000000000
喜び,Xが流れ出る,novelty,2.7000000000000000
泥,Xを搾り出す,metaphoricity,1.3000000000000000
岩,Xを垂らす,metaphoricity,2.3000000000000000
不満,Xが濁る,novelty,3.6000000000000000
時間,Xがしみる,comprehensibility,0.90000000000000000000
快楽,Xに浸る,novelty,1.4000000000000000
愛,Xがしみる,novelty,2.2000000000000000
声,Xが濁る,comprehensibility,3.0000000000000000
絶望,Xに溺れる,metaphoricity,2.1000000000000000
羞恥心,Xに浸る,novelty,3.2000000000000000
嫉妬,Xが漏れる,metaphoricity,1.9000000000000000
労働,Xが濁る,comprehensibility,0.40000000000000000000
油,Xに浮く,comprehensibility,3.6000000000000000
泥,Xが溜まる,novelty,0.50000000000000000000
空気,Xを注ぐ,novelty,3.0000000000000000
アリ,Xが湧く,comprehensibility,3.1000000000000000
睡眠,Xですすぐ,comprehensibility,0.10000000000000000000
砂,Xが溢れる,metaphoricity,0.80000000000000000000
意図,Xですすぐ,metaphoricity,1.7000000000000000
ネコ,Xが滴る,novelty,3.6000000000000000
喜び,Xを垂らす,comprehensibility,1.3000000000000000
嫉妬,Xが沸騰する,novelty,3.3000000000000000
憎悪,Xが滲む,novelty,1.6000000000000000
愛,Xを撒く,novelty,2.8000000000000000
羞恥心,Xがこぼれる,metaphoricity,3.0000000000000000
勇気,Xに浮く,novelty,3.5000000000000000
