noun,verb,metric,mean
kotoba (word),X ga moreru (X leaks),metaphoricity,2.8000000000000000
kanjou (emotion),X ga uzumaku (X whirls),comprehensibility,3.7000000000000000
kyouhu (fear),X ga nagarederu (X flows out),comprehensibility,1.9000000000000000
kotoba (word),X ga huttou-suru (X boils),novelty,4.0000000000000000
kinsen (money),X ga ahureru (X overflows),novelty,1.8000000000000000
hikari (light),X wo sosogu (Y pours X),metaphoricity,2.1000000000000000
mizu (water),X ga nagarederu (X flows out),metaphoricity,0.20000000000000000000
tanosisa (enjoyment),X wo abiseru (Y showers X),comprehensibility,1.7000000000000000
kuuki (air),X wo susuru (Y sips X),comprehensibility,0.80000000000000000000
zetubou (despair),X wo maku (Y scatters X),metaphoricity,2.1000000000000000
zouo (hatred),X ni uku (Y floats on X),metaphoricity,2.4000000000000000
ansin (relief),X ga tamaru (X gets collected),comprehensibility,1.5000000000000000
jouhou (information),X ga nigoru (X gets cloudy),metaphoricity,2.7000000000000000
doro (mud),X ga koboreru (X spills out),metaphoricity,0.50000000000000000000
neko (cat),X ga mitiru (X fills Y),novelty,3.7000000000000000
kairaku (pleasure),X ga uzumaku (X whirls),novelty,2.8000000000000000
ikari (anger),X ga nizimu (X oozes),comprehensibility,3.1000000000000000
keeki (cake),X wo sosogu (Y pours X),metaphoricity,0.40000000000000000000
syutisin (shame),X ga uzumaku (X whirls),novelty,2.5000000000000000
kibou (hope),X wo maku (Y scatters X),comprehensibility,1.8000000000000000
jounetu (passion),X wo makitirasu (Y sprinkles X),novelty,2.6000000000000000
huan (anxiety),X wo susuru (Y sips X),metaphoricity,2.0000000000000000
kyouhu (fear),X wo tarasu (Y drops X),novelty,3.4000000000000000
oto (sound),X wo kumitoru (Y scoops up X),metaphoricity,3.2000000000000000
suimin (sleep),X ga ahureru (X overflows),novelty,3.3000000000000000
ito (intention),X ga waku (X gushes out),metaphoricity,2.3000000000000000
jikan (time),X ga sitataru (X drips),comprehensibility,0.50000000000000000000
kuuki (air),X ga sumu (X gets clear),comprehensibility,3.9000000000000000
ari (ant),X de susugu (Y rinses Z with X),comprehensibility,0.60000000000000000000
suimin (sleep),X ga waku (X gushes out),comprehensibility,0.80000000000000000000
oto (sound),X ga nagarederu (X flows out),comprehensibility,3.3000000000000000
kairaku (pleasure),X wo abiseru (Y showers X),novelty,3.0000000000000000
jouhou (information),X ni sizumu (Y sinks into X),comprehensibility,1.8000000000000000
hikari (light),X wo nomu (Y drinks X),metaphoricity,3.0000000000000000
kimoti (feeling),X wo makitirasu (Y sprinkles X),comprehensibility,1.8000000000000000
syutisin (shame),X wo abiseru (Y showers X),novelty,3.0000000000000000
ikari (anger),X ni oboreru (Y almost drowns in X),novelty,2.7000000000000000
jouhou (information),X ga yodomu (X gets stagnant),comprehensibility,2.2000000000000000
kibou (hope),X ni uku (Y floats on X),metaphoricity,1.00000000000000000000
keeki (cake),X ga nagareru (X flows),novelty,2.9000000000000000
hikari (light),X ga nagareru (X flows),novelty,1.9000000000000000
kanjou (emotion),X wo abiseru (Y showers X),comprehensibility,2.3000000000000000
abura (oil),X ni oboreru (Y almost drowns in X),metaphoricity,3.0000000000000000
neko (cat),X ga simiru (X soaks into Y),novelty,3.8000000000000000
iwa (rock),X wo makitirasu (Y sprinkles X),novelty,1.8000000000000000
huan (anxiety),X ni tukaru (Y gets submerged in X),novelty,3.2000000000000000
mizu (water),X wo kumitoru (Y scoops up X),comprehensibility,4.0000000000000000
huan (anxiety),X ga sumu (X gets clear),metaphoricity,2.0000000000000000
kyouhu (fear),X wo kumitoru (Y scoops up X),metaphoricity,1.4000000000000000
jouhou (information),X wo kakeru (Y sprays X),comprehensibility,0.50000000000000000000
zouo (hatred),X wo maku (Y scatters X),comprehensibility,2.6000000000000000
tanosisa (enjoyment),X ga uzumaku (X whirls),comprehensibility,1.9000000000000000
kinsen (money),X ga waku (X gushes out),comprehensibility,2.4000000000000000
keeki (cake),X wo nomu (Y drinks X),metaphoricity,1.00000000000000000000
oto (sound),X wo tarasu (Y drops X),novelty,3.1000000000000000
doro (mud),X ga huttou-suru (X boils),comprehensibility,1.5000000000000000
zetubou (despair),X ni uku (Y floats on X),comprehensibility,0.90000000000000000000
sitto (envy),X ga tamaru (X gets collected),comprehensibility,2.0000000000000000
ai (love),X ga sitataru (X drips),novelty,2.6000000000000000
sitto (envy),X ga uzumaku (X whirls),comprehensibility,2.9000000000000000
neko (cat),X wo maku (Y scatters X),novelty,3.6000000000000000
kinsen (money),X ga yodomu (X gets stagnant),comprehensibility,1.1000000000000000
ansin (relief),X wo abiseru (Y showers X),comprehensibility,1.1000000000000000
huan (anxiety),X wo makitirasu (Y sprinkles X),metaphoricity,1.8000000000000000
iwa (rock),X ga sumu (X gets clear),novelty,3.4000000000000000
ai (love),X ga nizimu (X oozes),comprehensibility,1.8000000000000000
